host_response_time,host_response_rate,host_acceptance_rate,host_identity_verified,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month
a few days or more,0,0.11,t,Entire rental unit,Entire home/apt,4,2 baths,2,2,2800,5,5,5,5,5,5,5,t,0.16
within an hour,1,1,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,2013,5,5,5,5,5,5,5,t,0.12
within an hour,1,0.89,t,Entire rental unit,Entire home/apt,6,1.5 baths,3,3,1830,4.78,4.78,4.89,4.83,4.92,5,4.81,f,1.42
within an hour,1,1,t,Entire condo,Entire home/apt,4,2.5 baths,2,2,3020,5,5,5,5,5,4.94,4.94,f,0.59
within an hour,1,1,t,Entire condo,Entire home/apt,4,1 bath,2,3,916,4.72,4.87,4.7,4.86,4.82,4.9,4.77,f,2.7
within an hour,0.98,0.96,t,Private room in guest suite,Private room,2,1 private bath,1,1,792,4.7,4.89,4.96,4.87,4.96,4.94,4.68,f,1.56
within an hour,1,1,t,Entire guest suite,Entire home/apt,2,1 bath,1,1,620,4.93,4.94,4.88,4.97,4.94,4.91,4.94,t,12.03
within an hour,0.98,0.96,t,Private room in guest suite,Private room,2,1 private bath,1,1,792,4.66,4.82,4.58,4.97,4.84,4.92,4.71,f,2.11
within an hour,1,1,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1984,4.95,4.95,4.97,4.97,4.92,4.97,4.78,f,2.61
within an hour,1,0.98,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1521,4.84,4.87,4.93,4.94,4.93,4.81,4.78,f,6.06
N/A,N/A,N/A,t,Shared room in rental unit,Shared room,3,1 shared bath,1,5,17000,,,,,,,,f,
within an hour,1,1,t,Private room in home,Private room,2,1 shared bath,1,1,211,4.71,4.76,4.76,4.75,4.8,4.4,4.75,t,1.88
within a few hours,0.67,0.52,t,Entire rental unit,Entire home/apt,4,3.5 baths,3,3,2000,4.64,4.55,4.45,4.91,4.73,4.82,4.45,f,0.38
within an hour,1,1,t,Entire rental unit,Entire home/apt,3,1 bath,,1,1386,4.95,5,5,4.89,5,4.95,5,f,0.75
within an hour,1,1,t,Entire rental unit,Entire home/apt,4,2 baths,2,3,1043,4.88,4.96,4.79,4.97,5,4.92,4.89,f,2.58
within an hour,1,1,t,Entire home,Entire home/apt,8,2.5 baths,4,5,4932,4.63,4.65,4.68,4.83,4.85,4.98,4.57,f,4.1
within an hour,1,1,t,Entire loft,Entire home/apt,2,1 bath,1,1,1977,4.86,4.86,5,4.86,5,5,4.71,t,0.33
within a few hours,1,0.8,t,Private room in guest suite,Private room,3,1 private bath,1,1,836,4.88,4.94,4.88,4.88,4.81,4.81,4.88,t,0.55
within an hour,1,0.97,t,Entire condo,Entire home/apt,3,1 bath,1,2,1144,4.84,4.9,4.92,4.93,4.99,4.98,4.78,f,3.1
N/A,N/A,0.75,t,Entire rental unit,Entire home/apt,3,1 bath,2,2,592,,,,,,,,f,
N/A,N/A,N/A,f,Private room in rental unit,Private room,1,1 private bath,1,,550,,,,,,,,f,
within an hour,1,1,t,Entire condo,Entire home/apt,5,2 baths,2,2,650,4.69,4.88,4.69,4.88,4.75,4.69,4.56,f,0.6
within an hour,1,1,t,Entire condo,Entire home/apt,7,2.5 baths,2,4,2513,4.93,4.93,4.91,4.97,4.95,5,4.91,f,1.95
within an hour,0.99,1,t,Entire rental unit,Entire home/apt,5,2 baths,2,4,1040,4.62,4.81,4.71,4.81,4.74,4.91,4.65,t,2.35
within an hour,1,1,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1829,4.83,4.88,4.88,4.91,4.93,4.93,4.82,t,4.03
within an hour,1,1,t,Entire rental unit,Entire home/apt,4,1 bath,2,2,927,4.56,4.8,4.69,4.65,4.65,4.6,4.62,f,1.99
within an hour,1,1,t,Entire condo,Entire home/apt,2,2 baths,1,1,1250,5,4.67,5,5,5,5,5,f,0.32
within an hour,1,1,t,Entire rental unit,Entire home/apt,5,1 bath,2,4,1699,4.84,4.9,4.91,4.94,4.97,4.92,4.78,t,2.99
within an hour,1,1,t,Entire condo,Entire home/apt,4,1 bath,2,3,952,4.49,4.57,4.57,4.73,4.33,4.79,4.7,f,2.12
within a few hours,1,0.5,f,Entire rental unit,Entire home/apt,5,1 bath,2,3,1050,,,,,,,,f,
within an hour,1,1,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,950,4.8,4.83,4.83,4.95,4.88,4.78,4.78,t,1.6
within a day,1,1,t,Entire condo,Entire home/apt,2,1.5 baths,2,1,1200,4.83,5,4.67,4.67,5,5,4.83,f,0.21
N/A,N/A,0,f,Private room in serviced apartment,Private room,1,1 shared bath,1,1,448,,,,,,,,f,
within an hour,1,1,t,Entire loft,Entire home/apt,2,1 bath,1,1,682,4.81,5,4.86,5,5,5,4.81,f,0.75
within an hour,1,0.88,t,Entire rental unit,Entire home/apt,4,1 bath,2,4,769,5,5,5,5,4.93,4.86,5,f,1.06
within an hour,0.99,0.99,t,Entire rental unit,Entire home/apt,5,1 bath,2,2,640,4.55,4.69,4.6,4.75,4.77,4.69,4.64,t,5.12
within an hour,1,1,t,Private room in rental unit,Private room,1,1 shared bath,1,1,250,,,,,,,,f,
within a few hours,0.7,0.29,f,Entire rental unit,Entire home/apt,7,2 baths,3,3,1450,4.56,4.56,4.44,4.89,5,4.78,4.78,f,0.3
a few days or more,0,0,f,Private room in rental unit,Private room,1,1 shared bath,1,1,215,,,,,,,,f,
within an hour,1,1,t,Entire rental unit,Entire home/apt,6,2 baths,3,4,1099,4.63,4.67,4.74,4.78,4.76,4.83,4.67,f,1.59
within an hour,1,1,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,241,4.73,4.86,4.78,4.81,4.95,4.51,4.78,f,1.27
N/A,N/A,N/A,t,Entire loft,Entire home/apt,2,1 bath,1,1,819,4.78,4.86,4.84,4.96,4.92,4.74,4.8,f,1.76
N/A,N/A,N/A,t,Entire loft,Entire home/apt,2,1 bath,1,1,950,4.86,4.89,4.88,4.93,4.93,4.7,4.77,f,2.02
N/A,N/A,N/A,t,Entire loft,Entire home/apt,2,1 bath,1,1,779,4.77,4.91,4.77,4.91,4.95,4.61,4.52,f,1.54
within an hour,1,1,t,Entire condo,Entire home/apt,5,1 bath,2,4,1199,4.71,5,4.86,4.71,4.86,4.86,4.86,f,0.24
N/A,N/A,N/A,t,Entire loft,Entire home/apt,2,1 bath,1,1,817,4.85,4.81,4.89,4.85,4.87,4.75,4.64,f,1.84
N/A,N/A,0.75,t,Private room in condo,Private room,2,1 shared bath,1,1,350,4.69,4.75,4.56,4.89,4.92,4.97,4.83,f,1.24
within an hour,1,1,f,Entire condo,Entire home/apt,4,2.5 baths,2,2,900,4.62,4.66,4.69,4.72,4.62,4.66,4.62,t,1.02
within a day,0.5,1,t,Entire loft,Entire home/apt,2,1 bath,1,1,1199,4.84,4.84,4.84,4.82,4.88,4.91,4.88,f,1.97
within a few hours,0.85,0,t,Private room in rental unit,Private room,1,1 shared bath,1,1,704,,,,,,,,f,
N/A,N/A,N/A,t,Entire loft,Entire home/apt,2,1 bath,1,1,784,4.81,4.87,4.86,4.86,4.84,4.74,4.75,f,2.64
N/A,N/A,N/A,t,Private room in rental unit,Private room,1,1 private bath,1,1,450,,,,,,,,t,
N/A,N/A,1,f,Entire rental unit,Entire home/apt,2,1 bath,2,1,1000,,,,,,,,t,
N/A,N/A,N/A,t,Entire loft,Entire home/apt,2,1 bath,1,1,772,4.84,4.89,4.85,4.93,4.91,4.8,4.78,f,1.89
N/A,N/A,N/A,t,Entire loft,Entire home/apt,2,1 bath,1,1,726,4.79,4.93,4.89,4.89,4.89,4.82,4.91,f,2.15
N/A,N/A,N/A,t,Entire loft,Entire home/apt,2,1 bath,1,1,891,4.91,4.95,4.88,4.95,4.96,4.71,4.91,f,1.94
N/A,N/A,N/A,t,Entire loft,Entire home/apt,2,1 bath,1,1,849,4.81,4.89,4.83,4.87,4.89,4.68,4.79,f,1.81
within an hour,1,1,t,Entire home,Entire home/apt,8,4.5 baths,4,5,3984,4.86,4.77,4.88,4.98,5,5,4.86,f,1.52
within an hour,1,1,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1644,4.69,4.6,4.62,4.81,4.83,4.98,4.52,t,1.48
within an hour,1,0.94,t,Entire loft,Entire home/apt,2,1 bath,1,1,884,4.9,4.86,4.95,4.98,4.92,4.92,4.68,t,2.1
within an hour,1,0.99,t,Private room in condo,Private room,2,1 shared bath,1,1,600,4.86,4.86,4.1,4.76,4.62,4.57,4.76,f,0.74
within an hour,1,0.97,t,Entire loft,Entire home/apt,2,2 baths,1,2,2934,4.92,4.94,4.93,4.88,4.93,4.93,4.9,f,7.24
within an hour,1,0.99,t,Entire rental unit,Entire home/apt,6,1 bath,2,2,1502,,,,,,,,t,
N/A,N/A,0,t,Entire rental unit,Entire home/apt,3,1 bath,2,2,2200,,,,,,,,f,
within an hour,0.98,1,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,950,4.46,4.7,4.55,4.81,4.53,4.86,4.5,f,3.98
N/A,N/A,N/A,t,Entire loft,Entire home/apt,2,1 bath,1,1,719,4.5,4.75,4.7,4.65,4.72,4.52,4.33,f,2.06
within an hour,1,0.97,t,Private room in rental unit,Private room,2,1 private bath,1,,850,,,,,,,,f,
within an hour,1,0.92,t,Entire rental unit,Entire home/apt,5,2 baths,2,2,2342,5,5,5,5,5,5,5,f,0.1
within an hour,0.97,0.99,t,Private room in home,Private room,2,1 private bath,1,1,352,4.81,4.74,4.77,4.74,4.97,4.9,4.77,f,1.04
within an hour,1,1,t,Entire rental unit,Entire home/apt,6,1 bath,2,4,1102,4.72,4.83,4.69,4.9,4.94,4.92,4.72,t,3.3
within a day,0.86,0.71,t,Shared room in home,Shared room,1,4 shared baths,1,1,299,5,5,4.8,5,5,5,5,f,0.18
within an hour,1,1,t,Entire condo,Entire home/apt,8,2 baths,3,5,1193,4.92,4.94,4.95,4.93,4.94,4.92,4.89,f,3.77
within an hour,1,1,t,Entire rental unit,Entire home/apt,4,1 bath,2,2,900,4.59,4.82,4.68,4.88,4.74,4.97,4.76,t,1.17
within a day,0.86,0.71,t,Private room in home,Private room,1,6 shared baths,1,1,299,,,,,,,,f,
within a few hours,0.67,0.98,t,Entire condo,Entire home/apt,6,2 baths,2,3,1400,5,5,5,5,4,5,5,f,0.23
within an hour,1,1,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,724,4.92,4.96,4.97,4.96,4.98,4.9,4.89,f,7.52
within a day,0.86,0.71,t,Private room in home,Private room,2,4 shared baths,1,2,299,,,,,,,,f,
within an hour,1,1,t,Entire loft,Entire home/apt,3,1 bath,1,1,800,4.89,4.89,4.69,4.91,4.93,4.91,4.78,f,1.6
within an hour,1,0.99,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1410,4.96,4.94,4.99,5,5,4.87,4.84,t,2.69
within an hour,1,1,t,Entire condo,Entire home/apt,4,1 bath,2,3,632,4.72,4.79,4.58,4.94,4.94,4.92,4.77,t,3.51
within an hour,0.99,0.99,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,690,4.58,4.75,4.92,4.92,4.58,5,4.58,t,0.41
within an hour,1,1,t,Entire rental unit,Entire home/apt,4,2 baths,2,2,2000,4.78,4.81,4.7,4.81,4.85,4.89,4.85,f,1.35
within an hour,1,0.99,t,Private room in home,Private room,2,1 private bath,1,1,389,4.85,4.91,4.87,4.88,4.88,4.9,4.87,f,6.11
within an hour,1,1,t,Entire condo,Entire home/apt,4,1 bath,2,2,1811,4.82,4.73,4.67,4.82,4.94,4.94,4.73,f,2.49
within an hour,1,1,t,Entire loft,Entire home/apt,2,1 bath,1,1,539,4.67,4.76,4.76,4.81,4.81,4.71,4.52,t,0.74
N/A,N/A,N/A,f,Private room in serviced apartment,Private room,1,1 private bath,1,1,330,,,,,,,,f,
within an hour,1,1,t,Entire rental unit,Entire home/apt,5,2.5 baths,2,3,2286,4.88,4.89,4.94,4.74,4.93,4.95,4.91,t,4.3
N/A,N/A,N/A,t,Private room in rental unit,Private room,2,2 shared baths,1,1,500,5,5,5,5,5,5,5,t,0.08
within a few hours,0.85,0,t,Private room in rental unit,Private room,3,1 shared bath,3,3,300,,,,,,,,f,
within an hour,0.98,0.94,t,Entire rental unit,Entire home/apt,2,1 bath,,1,900,4.57,4.71,4.86,4.64,4.5,5,4.5,f,0.49
within an hour,1,1,t,Entire rental unit,Entire home/apt,5,2.5 baths,2,3,2195,4.85,4.93,4.94,4.81,4.91,4.97,4.89,t,3.53
a few days or more,0,0,f,Private room in condo,Private room,1,1 private bath,1,1,860,5,4.8,5,5,5,4.6,4.6,f,0.24
within an hour,1,1,t,Entire condo,Entire home/apt,2,1 bath,1,1,1549,4.86,4.9,4.92,4.97,4.95,4.81,4.86,f,7.04
within a day,0.86,0.71,t,Shared room in home,Shared room,1,4 shared baths,1,1,199,5,4.67,4.67,5,5,5,5,f,0.11
within an hour,1,1,t,Entire rental unit,Entire home/apt,4,2 baths,2,2,1000,4.86,4.89,4.79,4.89,4.86,4.89,4.86,t,0.98
within an hour,1,1,t,Entire rental unit,Entire home/apt,5,2.5 baths,2,4,2200,4.87,4.88,4.9,4.79,4.89,4.89,4.85,t,3.58
within an hour,0.98,0.94,t,Entire rental unit,Entire home/apt,4,2 baths,2,2,1245,4.76,4.88,4.76,4.68,4.72,4.96,4.8,f,0.86
